"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,236984,52704,"BPS  Open Water",52704,"EVT  Open Water",52704
"2",31,9001,992020,220620,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",833004
"3",31,9009,7325,1629,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",14730
"4",31,9016,515,115,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",845
"5",31,9018,1808,402,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",12410
"6",31,9033,1900,423,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",755
"7",31,9146,2252,501,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",18098
"8",31,9147,263004,58491,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",707791
"9",31,9150,5710,1270,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",26744
"10",31,9151,327,73,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",22957
"11",31,9153,7,2,"BPS  Barren-Rock/Sand/Clay",283524,"EVT  Sparsely Vegetated",30
"12",381,7011,371,83,"BPS  Shrubland",108494,"EVT  Hardwood",42127
"13",381,7016,32683,7269,"BPS  Shrubland",108494,"EVT  Conifer",3041988
"14",381,7023,24,5,"BPS  Shrubland",108494,"EVT  Conifer-Hardwood",593290
"15",381,7024,430,96,"BPS  Shrubland",108494,"EVT  Conifer-Hardwood",659799
"16",381,7025,43078,9580,"BPS  Shrubland",108494,"EVT  Conifer",5190427
"17",381,7026,170,38,"BPS  Shrubland",108494,"EVT  Conifer-Hardwood",177310
"18",381,7051,657,146,"BPS  Shrubland",108494,"EVT  Conifer",161020
"19",381,7052,13,3,"BPS  Shrubland",108494,"EVT  Conifer",71242
"20",381,7054,63066,14026,"BPS  Shrubland",108494,"EVT  Conifer",4150814
"21",381,7055,76,17,"BPS  Shrubland",108494,"EVT  Conifer",119371
"22",381,7056,4,1,"BPS  Shrubland",108494,"EVT  Conifer",3387
"23",381,7057,7,2,"BPS  Shrubland",108494,"EVT  Conifer",2750
"24",381,7080,15,3,"BPS  Shrubland",108494,"EVT  Shrubland",1043225
"25",381,7081,210,47,"BPS  Shrubland",108494,"EVT  Shrubland",104814
"26",381,7086,738,164,"BPS  Shrubland",108494,"EVT  Shrubland",12084
"27",381,7104,479,107,"BPS  Shrubland",108494,"EVT  Shrubland",1610704
"28",381,7107,3297,733,"BPS  Shrubland",108494,"EVT  Shrubland",165372
"29",381,7115,26,6,"BPS  Shrubland",108494,"EVT  Conifer",13397
"30",381,7116,382,85,"BPS  Shrubland",108494,"EVT  Conifer",92264
"31",381,7117,9937,2210,"BPS  Shrubland",108494,"EVT  Conifer",22944
"32",381,7121,89,20,"BPS  Shrubland",108494,"EVT  Shrubland",824658
"33",381,7126,198,44,"BPS  Shrubland",108494,"EVT  Shrubland",3829
"34",381,7127,14063,3128,"BPS  Shrubland",108494,"EVT  Shrubland",1320447
"35",381,7135,139296,30979,"BPS  Shrubland",108494,"EVT  Grassland",412924
"36",381,7145,554,123,"BPS  Shrubland",108494,"EVT  Grassland",14597
"37",381,7146,65964,14670,"BPS  Shrubland",108494,"EVT  Grassland",214591
"38",381,7256,674,150,"BPS  Shrubland",108494,"EVT  Grassland",521653
"39",381,7295,668,149,"BPS  Shrubland",108494,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",57042
"40",381,7296,64,14,"BPS  Shrubland",108494,"EVT  Developed-Low Intensity",33696
"41",381,7297,10,2,"BPS  Shrubland",108494,"EVT  Developed-Medium Intensity",17009
"42",381,7298,2,0,"BPS  Shrubland",108494,"EVT  Developed-High Intensity",5412
"43",381,7299,1437,320,"BPS  Shrubland",108494,"EVT  Developed-Roads",197706
"44",381,7911,162,36,"BPS  Shrubland",108494,"EVT  Developed",32397
"45",381,7912,1,0,"BPS  Shrubland",108494,"EVT  Developed",5310
"46",381,7913,55,12,"BPS  Shrubland",108494,"EVT  Developed",5404
"47",381,7914,386,86,"BPS  Shrubland",108494,"EVT  Developed",64376
"48",381,7930,2,0,"BPS  Shrubland",108494,"EVT  Developed",661
"49",381,7931,44,10,"BPS  Shrubland",108494,"EVT  Developed",13323
"50",381,7933,8,2,"BPS  Shrubland",108494,"EVT  Developed",11469
"51",381,7934,62,14,"BPS  Shrubland",108494,"EVT  Developed",1858
"52",381,7980,1,0,"BPS  Shrubland",108494,"EVT  Agricultural",1147
"53",381,7984,2,0,"BPS  Shrubland",108494,"EVT  Agricultural",2728
"54",381,7985,1,0,"BPS  Shrubland",108494,"EVT  Agricultural",2713
"55",381,7986,53,12,"BPS  Shrubland",108494,"EVT  Agricultural",6971
"56",381,7987,2,0,"BPS  Shrubland",108494,"EVT  Agricultural",11897
"57",381,7988,1,0,"BPS  Shrubland",108494,"EVT  Agricultural",524
"58",381,9001,77527,17242,"BPS  Shrubland",108494,"EVT  Sparsely Vegetated",833004
"59",381,9011,2231,496,"BPS  Shrubland",108494,"EVT  Riparian",29445
"60",381,9016,3,1,"BPS  Shrubland",108494,"EVT  Sparsely Vegetated",845
"61",381,9017,562,125,"BPS  Shrubland",108494,"EVT  Riparian",4063
"62",381,9018,24476,5443,"BPS  Shrubland",108494,"EVT  Sparsely Vegetated",12410
"63",381,9019,893,199,"BPS  Shrubland",108494,"EVT  Riparian",31320
"64",381,9035,415,92,"BPS  Shrubland",108494,"EVT  Riparian",55115
"65",381,9147,188,42,"BPS  Shrubland",108494,"EVT  Sparsely Vegetated",707791
"66",381,9148,8,2,"BPS  Shrubland",108494,"EVT  Riparian",1421
"67",381,9327,74,16,"BPS  Shrubland",108494,"EVT  Riparian",5473
"68",381,9329,154,34,"BPS  Shrubland",108494,"EVT  Riparian",967
"69",381,9519,63,14,"BPS  Shrubland",108494,"EVT  Riparian",4304
"70",381,9535,13,3,"BPS  Shrubland",108494,"EVT  Riparian",8359
"71",381,9810,153,34,"BPS  Shrubland",108494,"EVT  Exotic Herbaceous",58918
"72",381,9827,15,3,"BPS  Shrubland",108494,"EVT  Riparian",10698
"73",381,9828,533,119,"BPS  Shrubland",108494,"EVT  Exotic Herbaceous",30875
"74",381,9829,1075,239,"BPS  Shrubland",108494,"EVT  Riparian",12836
"75",384,7016,7,2,"BPS  Sparse",3510,"EVT  Conifer",3041988
"76",384,7081,1,0,"BPS  Sparse",3510,"EVT  Shrubland",104814
"77",384,7086,2,0,"BPS  Sparse",3510,"EVT  Shrubland",12084
"78",384,7104,1,0,"BPS  Sparse",3510,"EVT  Shrubland",1610704
"79",384,7107,6,1,"BPS  Sparse",3510,"EVT  Shrubland",165372
"80",384,7117,1,0,"BPS  Sparse",3510,"EVT  Conifer",22944
"81",384,7127,1,0,"BPS  Sparse",3510,"EVT  Shrubland",1320447
"82",384,7135,1,0,"BPS  Sparse",3510,"EVT  Grassland",412924
"83",384,7146,6,1,"BPS  Sparse",3510,"EVT  Grassland",214591
"84",384,7295,41,9,"BPS  Sparse",3510,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",57042
"85",384,7296,49,11,"BPS  Sparse",3510,"EVT  Developed-Low Intensity",33696
"86",384,7297,14,3,"BPS  Sparse",3510,"EVT  Developed-Medium Intensity",17009
"87",384,7298,4,1,"BPS  Sparse",3510,"EVT  Developed-High Intensity",5412
"88",384,7299,64,14,"BPS  Sparse",3510,"EVT  Developed-Roads",197706
"89",384,7910,6,1,"BPS  Sparse",3510,"EVT  Developed",4926
"90",384,7911,2,0,"BPS  Sparse",3510,"EVT  Developed",32397
"91",384,7912,1,0,"BPS  Sparse",3510,"EVT  Developed",5310
"92",384,7913,9,2,"BPS  Sparse",3510,"EVT  Developed",5404
"93",384,7914,161,36,"BPS  Sparse",3510,"EVT  Developed",64376
"94",384,9001,13430,2987,"BPS  Sparse",3510,"EVT  Sparsely Vegetated",833004
"95",384,9016,2,0,"BPS  Sparse",3510,"EVT  Sparsely Vegetated",845
"96",384,9018,1671,372,"BPS  Sparse",3510,"EVT  Sparsely Vegetated",12410
"97",384,9033,7,2,"BPS  Sparse",3510,"EVT  Sparsely Vegetated",755
"98",384,9147,297,66,"BPS  Sparse",3510,"EVT  Sparsely Vegetated",707791
"99",385,7019,1,0,"BPS  Sparse",58,"EVT  Conifer",504753
"100",385,7082,21,5,"BPS  Sparse",58,"EVT  Shrubland",247977
"101",385,7087,5,1,"BPS  Sparse",58,"EVT  Shrubland",132684
"102",385,7108,2,0,"BPS  Sparse",58,"EVT  Shrubland",30338
"103",385,9001,71,16,"BPS  Sparse",58,"EVT  Sparsely Vegetated",833004
"104",385,9146,2,0,"BPS  Sparse",58,"EVT  Sparsely Vegetated",18098
"105",385,9147,157,35,"BPS  Sparse",58,"EVT  Sparsely Vegetated",707791
"106",385,9308,1,0,"BPS  Sparse",58,"EVT  Exotic Herbaceous",1023
"107",385,9336,2,0,"BPS  Sparse",58,"EVT  Exotic Tree-Shrub",26958
"108",391,7025,1,0,"BPS  Shrubland",4,"EVT  Conifer",5190427
"109",391,7100,2,0,"BPS  Shrubland",4,"EVT  Shrubland",768027
"110",391,7104,2,0,"BPS  Shrubland",4,"EVT  Shrubland",1610704
"111",391,7121,1,0,"BPS  Shrubland",4,"EVT  Shrubland",824658
"112",391,7256,11,2,"BPS  Shrubland",4,"EVT  Grassland",521653
"113",392,7025,8,2,"BPS  Shrubland",49,"EVT  Conifer",5190427
"114",392,7074,19,4,"BPS  Shrubland",49,"EVT  Shrubland",109194
"115",392,7075,2,0,"BPS  Shrubland",49,"EVT  Shrubland",2359
"116",392,7076,1,0,"BPS  Shrubland",49,"EVT  Shrubland",1416
"117",392,7077,2,0,"BPS  Shrubland",49,"EVT  Shrubland",4564
"118",392,7087,8,2,"BPS  Shrubland",49,"EVT  Shrubland",132684
"119",392,7091,4,1,"BPS  Shrubland",49,"EVT  Shrubland",446940
"120",392,7100,121,27,"BPS  Shrubland",49,"EVT  Shrubland",768027
"121",392,7116,1,0,"BPS  Shrubland",49,"EVT  Conifer",92264
"122",392,7121,2,0,"BPS  Shrubland",49,"EVT  Shrubland",824658
"123",392,7256,1,0,"BPS  Shrubland",49,"EVT  Grassland",521653
