Past,EVT,ACRES
Past Conifer,Agricultural,338
Past Conifer,Conifer,7988791
Past Conifer,Conifer-Hardwood,1128644
Past Conifer,Developed,136588
Past Conifer,Exotics,38656
Past Conifer,Grassland,292842
Past Conifer,Hardwood,23526
Past Conifer,Riparian,8480
Past Conifer,Shrubland,908530
Past Grassland,Agricultural,7279
Past Grassland,Conifer,313405
Past Grassland,Conifer-Hardwood,12340
Past Grassland,Developed,47104
Past Grassland,Exotics,45466
Past Grassland,Grassland,340364
Past Grassland,Hardwood,531
Past Grassland,Riparian,31159
Past Grassland,Shrubland,865705
Past Hardwood,Conifer,382
Past Hardwood,Conifer-Hardwood,23
Past Hardwood,Developed,4
Past Hardwood,Exotics,15
Past Hardwood,Grassland,181
Past Hardwood,Hardwood,351
Past Hardwood,Riparian,1
Past Hardwood,Shrubland,157
Past Hardwood-Conifer,Agricultural,4
Past Hardwood-Conifer,Conifer,112515
Past Hardwood-Conifer,Conifer-Hardwood,32378
Past Hardwood-Conifer,Developed,1201
Past Hardwood-Conifer,Exotics,1109
Past Hardwood-Conifer,Grassland,11234
Past Hardwood-Conifer,Hardwood,16881
Past Hardwood-Conifer,Riparian,364
Past Hardwood-Conifer,Shrubland,16297
Past Riparian,Agricultural,6880
Past Riparian,Conifer,547146
Past Riparian,Conifer-Hardwood,81793
Past Riparian,Developed,31445
Past Riparian,Exotics,6540
Past Riparian,Grassland,24642
Past Riparian,Hardwood,707
Past Riparian,Riparian,94870
Past Riparian,Shrubland,93677
Past Shrubland,Agricultural,13323
Past Shrubland,Conifer,4412004
Past Shrubland,Conifer-Hardwood,216201
Past Shrubland,Developed,205234
Past Shrubland,Exotics,278382
Past Shrubland,Grassland,566980
Past Shrubland,Hardwood,171
Past Shrubland,Riparian,65213
Past Shrubland,Shrubland,5999246
