"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_15_A","10110_15","A",7,"Rocky Mountain Aspen Forest and Woodland",1181,1,2599,10110,15,5311,48
"2","10110_15_B","10110_15","B",35,"Rocky Mountain Aspen Forest and Woodland",1181,2,570,10110,15,5311,10
"3","10110_15_C","10110_15","C",58,"Rocky Mountain Aspen Forest and Woodland",1181,3,1762,10110,15,5311,33
"4","10110_15_D","10110_15","D",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"5","10110_15_E","10110_15","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"6","10110_15_Agriculture","10110_15","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"7","10110_15_Developed","10110_15","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1181,120,19,10110,15,5311,0
"8","10110_15_Water","10110_15","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10110_15_UN","10110_15","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"10","10110_15_UE","10110_15","UE",0,"Rocky Mountain Aspen Forest and Woodland",1181,7,72,10110,15,5311,1
"11","10160_13_14_A","10160_13_14","A",2,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"12","10160_13_14_B","10160_13_14","B",7,"Colorado Plateau Pinyon-Juniper Woodland",491,2,15,10160,13,68,22
"13","10160_13_14_C","10160_13_14","C",27,"Colorado Plateau Pinyon-Juniper Woodland",491,3,50,10160,13,68,73
"14","10160_13_14_D","10160_13_14","D",64,"Colorado Plateau Pinyon-Juniper Woodland",491,4,1,10160,13,68,1
"15","10160_13_14_E","10160_13_14","E",NA,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"16","10160_13_14_Agriculture","10160_13_14","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
