"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1202,18545172,11040,15,"11040_15","Mogollon Chaparral","Shrubland",80,NA,2171,77,96,NA,4,"IV-A",173,250,211,0.678431373,0.980392157,0.82745098,4124347,15.4
"2",1190,15435887,10540,15,"10540_15_25","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",396,108,10,9,2,9,89,"I-B",168,56,0,0.658823529,0.219607843,0,3432859,12.8
"3",1199,9055659,10910,15,"10910_15","Sonoran Mid-Elevation Desert Scrub","Shrubland",355,NA,NA,355,100,NA,NA,"V-A",176,6,99,0.690196078,0.023529412,0.388235294,2013930,7.5
"4",1186,8721646,10250,15,"10250_14_15_24_25_26","Madrean Pinyon-Juniper Woodland","Conifer",136,209,104,46,34,22,44,"III-A",160,106,31,0.62745098,0.415686275,0.121568627,1939647,7.3
"5",2705,8081119,10804,15,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,1797198,6.7
"6",1209,7966971,11270,15,"11270_15","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",118,NA,NA,118,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,1771812,6.6
"7",1184,7381669,10230,15,"10230_14_15_24_25","Madrean Encinal","Conifer",125,191,33,23,18,13,69,"I-C",0,167,132,0,0.654901961,0.517647059,1641644,6.1
"8",1208,5517118,11210,15,"11210_15","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Grassland",10,NA,40,8,80,NA,20,"II-B",255,221,216,1,0.866666667,0.847058824,1226978,4.6
"9",1185,4394408,10240,15,"10240_14_15_24","Madrean Lower Montane Pine-Oak Forest and Woodland","Conifer",125,191,33,23,19,12,69,"I-C",167,189,30,0.654901961,0.741176471,0.117647059,977293,3.7
"10",1182,3485722,10160,15,"10160_15_28","Colorado Plateau Pinyon-Juniper Woodland","Conifer",430,194,2245,126,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,775206,2.9
"11",1207,3547185,11170,15,"11170_13_15_28","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",368,NA,11,11,3,NA,97,"I-B",255,85,0,1,0.333333333,0,788875,2.9
"12",1197,3355068,10820,15,"10820_12_15_16_17_23_24","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",815,NA,NA,815,100,NA,NA,"V-B",216,6,73,0.847058824,0.023529412,0.28627451,746149,2.8
"13",1214,2752520,11590,15,"11590_15","Rocky Mountain Montane Riparian Systems","Riparian",54,NA,8,7,12,NA,88,"I-B",123,124,93,0.482352941,0.48627451,0.364705882,612146,2.3
"14",1204,2044695,11090,15,"11090_15_25","Sonoran Paloverde-Mixed Cacti Desert Scrub","Shrubland",1049,NA,NA,1049,100,NA,NA,"V-B",233,214,245,0.91372549,0.839215686,0.960784314,454729,1.7
"15",1210,1771852,11350,15,"11350_15_28","Inter-Mountain Basins Semi-Desert Grassland","Grassland",77,37,NA,25,33,67,NA,"I-C",185,174,211,0.725490196,0.682352941,0.82745098,394050,1.5
"16",31,1274868,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,283524,1.1
"17",1188,1265565,10510,15,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098039,0.823529412,1,281455,1.1
"18",1194,1267170,10770,15,"10770_15","Chihuahuan Succulent Desert Scrub","Shrubland",347,NA,NA,347,100,NA,NA,"V-A",232,127,105,0.909803922,0.498039216,0.411764706,281812,1.1
"19",404,1261940,10780,15,"10780_15","Colorado Plateau Blackbrush-Mormon-tea Shrubland","Shrubland",282,NA,NA,282,100,NA,NA,"V-A",52,155,207,0.203921569,0.607843137,0.811764706,280649,1
"20",1196,1224055,10810,15,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,NA,NA,616,100,NA,NA,"V-B",245,202,122,0.960784314,0.792156863,0.478431373,272223,1
"21",1189,1026202,10520,15,"10520_15","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",186,90,72,33,18,37,45,"I-C",115,149,230,0.450980392,0.584313725,0.901960784,228222,0.9
"22",1191,978725,10550,15,"10550_15_28","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",199,435,NA,137,69,31,NA,"IV-B",211,255,190,0.82745098,1,0.745098039,217663,0.8
"23",1206,905989,11160,15,"11160_15_25","Madrean Juniper Savanna","Conifer",136,208,106,46,34,22,44,"III-A",207,157,143,0.811764706,0.615686275,0.560784314,201487,0.8
