"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_15",0.0087156,"Rocky Mountain Aspen Forest and Woodland",1181,1181,0,10.2931236
"2","All Fire","10160_13_14",0.0064858,"Colorado Plateau Pinyon-Juniper Woodland",491,15,0,0.097287
"3","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",1182,775206,2.9,6248.7805248
"4","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1010,140,0,1.099336
"5","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1114,406,0,3.1880744
"6","All Fire","10190_13_14",0.00641,"Great Basin Pinyon-Juniper Woodland",492,79,0,0.50639
"7","All Fire","10190_15",0.0063906,"Great Basin Pinyon-Juniper Woodland",1183,172529,0.6,1102.5638274
"8","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",1184,1641644,6.1,70865.1748768
"9","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",528,5,0,0.215836
"10","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",1115,28,0,1.2086816
"11","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",1340,256,0,11.0508032
"12","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",1185,977293,3.7,41418.0682572
"13","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",1116,16,0,0.6780864
"14","All Fire","10240_25_27",0.1414966,"Madrean Lower Montane Pine-Oak Forest and Woodland",1341,23,0,3.2544218
"15","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",1186,1939647,7.3,41889.7804002
"16","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",530,1,0,0.0215966
"17","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",1117,28,0,0.6047048
"18","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",1342,195,0,4.211337
"19","All Fire","10260_15",0.0977646,"Madrean Upper Montane Conifer-Oak Forest and Woodland",1187,19806,0.1,1936.3256676
"20","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1188,281455,1.1,26314.297479
"21","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1118,9,0,0.8414442
"22","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1343,0,0,0
"23","All Fire","10520_15",0.029845,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1189,228222,0.9,6811.28559
"24","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1119,11,0,0.3321494
"25","All Fire","10540_13_14",0.066674,"Southern Rocky Mountain Ponderosa Pine Woodland",495,0,0,0
"26","All Fire","10540_15_25",0.1084062,"Southern Rocky Mountain Ponderosa Pine Woodland",1190,3432859,12.8,372143.1993258
"27","All Fire","10540_15_25",0.1084062,"Southern Rocky Mountain Ponderosa Pine Woodland",1345,16,0,1.7344992
"28","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",1120,932,0,54.7080272
"29","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1191,217663,0.8,1588.2433784
"30","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1192,4459,0,32.4918412
"31","All Fire","10610_15_25",0.0810248,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1193,192844,0.7,15625.1465312
"32","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1123,1,0,0.0980794
"33","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",403,85132,0.3,1084.326284
"34","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1022,6,0,0.076422
"35","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1124,35,0,0.445795
"36","All Fire","10760_25",0.045341,"Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub",393,3,0,0.136023
"37","All Fire","10770_15",0.002871,"Chihuahuan Succulent Desert Scrub",1194,281812,1.1,809.082252
"38","All Fire","10770_25_26",0.0062666,"Chihuahuan Succulent Desert Scrub",1350,1004,0,6.2916664
"39","All Fire","10780_15",0.0034632,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",404,280649,1,971.9436168
"40","All Fire","10780_16_23_24_25",0.013147,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",1024,59,0,0.775673
"41","All Fire","10780_16_23_24_25",0.013147,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",1126,21,0,0.276087
"42","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2704,20048,0.1,132.3609056
"43","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2714,32,0,0.2112704
"44","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2705,1797198,6.7,15171.5860764
"45","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2713,257,0,2.1695426
