VALUE,BPS_NAME,CLASSNAMES_1,Freq,ACRES,REL_PERCENT
13,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Deciduous Forest,4656,1024.32,0.030163476
14,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Evergreen Forest,51060,11233.2,0.330787599
15,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Mixed Forest,11539,2538.58,0.074754369
16,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Herbaceous,3031,666.82,0.01963606
17,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Shrubland,11911,2620.42,0.077164338
22,Southern Rocky Mountain Ponderosa Pine Woodland,Developed - Low Intensity,16589,3649.58,0.107470338
23,Southern Rocky Mountain Ponderosa Pine Woodland,Developed - Medium Intensity,11972,2633.84,0.077559521
24,Southern Rocky Mountain Ponderosa Pine Woodland,Developed - High Intensity,5024,1105.28,0.03254753
25,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Roads,165210,36346.2,1.070298066
32,Southern Rocky Mountain Ponderosa Pine Woodland,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,2802,616.44,0.018152504
63,Southern Rocky Mountain Ponderosa Pine Woodland,NASS-Row Crop-Close Grown Crop,1,0.22,6.47841E-06
64,Southern Rocky Mountain Ponderosa Pine Woodland,NASS-Row Crop,2,0.44,1.29568E-05
100,Southern Rocky Mountain Ponderosa Pine Woodland,Sparse Vegetation Canopy,45408,9989.76,0.294171627
101,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 1 meter,271144,59651.68,1.756581918
102,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 2 meters,291500,64130,1.888456426
103,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 3 meters,640397,140887.34,4.148754134
104,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 4 meters,494659,108824.98,3.204603662
105,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 5 meters,565082,124318.04,3.660832708
106,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 6 meters,616033,135527.26,3.99091416
107,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 7 meters,612017,134643.74,3.964896867
108,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 8 meters,1205198,265143.56,7.807766408
109,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 9 meters,700930,154204.6,4.540911708
110,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 10 meters,783966,172472.52,5.078852935
111,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 11 meters,829741,182543.02,5.375402139
112,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 12 meters,910753,200365.66,5.900231065
113,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 13 meters,1044501,229790.22,6.766705405
114,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 14 meters,1209235,266031.7,7.833919748
115,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 15 meters,952870,209631.4,6.173082247
116,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 16 meters,634444,139577.68,4.110188161
117,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 17 meters,442823,97421.06,2.868788817
118,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Height = 18 meters,1820780,400571.6,11.79575881
