evc,evh,percent
10-19,1,1.708334902
10-19,10,0.072950429
10-19,11,0.050375797
10-19,12,0.03970169
10-19,13,0.037462765
10-19,14,0.027808296
10-19,15,0.017775918
10-19,16,0.008756048
10-19,17,0.005333488
10-19,18,0.100994025
10-19,19,0.000463472
10-19,2,1.397644937
10-19,20,0.000349386
10-19,21,7.13033E-06
10-19,3,2.193439923
10-19,4,1.04593417
10-19,5,0.701275303
10-19,6,0.45289018
10-19,7,0.27622907
10-19,8,0.43055085
10-19,9,0.112723422
20-29,1,0.175441824
20-29,10,0.640717391
20-29,11,0.495522437
20-29,12,0.417402517
20-29,13,0.386271487
20-29,14,0.306918019
20-29,15,0.180860876
20-29,16,0.086662058
20-29,17,0.042739211
20-29,18,0.682921828
20-29,19,0.001376154
20-29,2,0.537783916
20-29,20,0.00108381
20-29,22,1.42607E-05
20-29,25,4.99123E-05
20-29,3,1.657738065
20-29,4,1.600581322
20-29,5,1.853016473
20-29,6,1.723943199
20-29,7,1.278297436
20-29,8,3.477156412
20-29,9,0.791944607
30-39,1,0.02124126
30-39,10,2.716378487
30-39,11,2.665646174
30-39,12,2.59623239
30-39,13,2.496978165
30-39,14,2.290127228
30-39,15,1.388254289
30-39,16,0.714145552
30-39,17,0.351004863
30-39,18,3.15021642
30-39,19,0.007543891
30-39,2,0.087482046
30-39,20,0.003600818
30-39,21,0.000199649
30-39,22,6.4173E-05
30-39,23,2.85213E-05
30-39,24,2.1391E-05
30-39,25,9.98247E-05
30-39,3,0.569499633
30-39,4,0.644517858
30-39,5,1.061713596
30-39,6,1.529663038
30-39,7,1.845180238
30-39,8,2.46767963
30-39,9,2.455144506
40-49,1,0.015636819
40-49,10,1.616182489
40-49,11,1.989063211
40-49,12,2.475152218
40-49,13,3.295931889
40-49,14,4.423052022
40-49,15,3.679693498
40-49,16,2.201910758
40-49,17,1.304280367
40-49,18,8.24675684
40-49,19,0.019622674
40-49,2,0.035801398
40-49,20,0.00750824
40-49,21,0.000598948
40-49,22,0.000142607
40-49,23,7.13033E-05
40-49,24,9.98247E-05
40-49,25,0.000142607
40-49,3,0.105856912
40-49,38,0.000827119
40-49,4,0.174971222
40-49,5,0.317727603
40-49,6,0.540193968
40-49,7,0.756178861
40-49,8,1.904668599
40-49,9,1.234110768
50-59,1,0.008763178
50-59,10,0.515715537
50-59,11,0.684297982
50-59,12,0.928647336
50-59,13,1.187414222
50-59,14,1.516222361
50-59,15,1.452156327
50-59,16,1.41853681
50-59,17,1.360567209
50-59,18,0.765512466
50-59,19,0.037669545
50-59,2,0.015094913
50-59,20,0.010752541
50-59,21,0.00086277
50-59,22,0.000306604
50-59,23,2.1391E-05
50-59,24,1.42607E-05
50-59,25,9.26943E-05
50-59,3,0.031708587
50-59,4,0.051366913
50-59,5,0.083667318
50-59,6,0.131483326
50-59,7,0.191613417
50-59,8,0.292899786
50-59,9,0.381323036
60-69,1,0.001518761
60-69,10,0.019437286
60-69,11,0.021982814
60-69,12,0.027408997
60-69,13,0.033961772
60-69,14,0.04614038
60-69,15,0.065199758
60-69,16,0.085834939
60-69,17,0.083660188
60-69,18,0.030032959
60-69,19,0.008413792
60-69,2,0.001946581
60-69,20,0.00299474
60-69,21,0.000320865
60-69,22,4.2782E-05
60-69,23,4.2782E-05
60-69,24,7.13033E-06
60-69,25,7.84337E-05
60-69,3,0.003422559
60-69,4,0.004335242
60-69,5,0.005654353
60-69,6,0.00750824
60-69,7,0.009604557
60-69,8,0.01244956
60-69,9,0.01524465
70-79,1,8.5564E-05
70-79,10,0.000499123
70-79,11,0.000655991
70-79,12,0.000983986
70-79,13,0.001133723
70-79,14,0.001882408
70-79,15,0.002723787
70-79,16,0.002645353
70-79,17,0.002089187
70-79,18,0.002759439
70-79,19,0.00020678
70-79,2,0.000114085
70-79,20,4.2782E-05
70-79,21,5.70427E-05
70-79,22,7.13033E-06
70-79,23,7.13033E-06
70-79,24,1.42607E-05
70-79,25,2.85213E-05
70-79,3,0.000121216
70-79,4,0.000106955
70-79,5,0.000285213
70-79,6,0.000228171
70-79,7,0.00021391
70-79,8,0.000327995
70-79,9,0.000406429
80-89,10,7.13033E-06
80-89,12,3.56517E-05
80-89,13,1.42607E-05
80-89,14,7.13033E-06
80-89,15,7.13033E-06
80-89,17,1.42607E-05
80-89,18,1.42607E-05
80-89,20,7.13033E-06
80-89,7,7.13033E-06
80-89,8,7.13033E-06
80-89,9,7.13033E-06
