VALUE,EVT_NAME,CLASSNAMES,Freq,REL_PERCENT,ACRES
110,Madrean Pinyon-Juniper Woodland,Tree Cover = 10%,1443721,6.186900649,320506.062
111,Madrean Pinyon-Juniper Woodland,Tree Cover = 11%,549947,2.356734751,122088.234
112,Madrean Pinyon-Juniper Woodland,Tree Cover = 12%,622065,2.665788163,138098.43
113,Madrean Pinyon-Juniper Woodland,Tree Cover = 13%,675923,2.89659044,150054.906
114,Madrean Pinyon-Juniper Woodland,Tree Cover = 14%,725734,3.110049764,161112.948
115,Madrean Pinyon-Juniper Woodland,Tree Cover = 15%,1730722,7.416810495,384220.284
116,Madrean Pinyon-Juniper Woodland,Tree Cover = 16%,790717,3.388526952,175539.174
117,Madrean Pinyon-Juniper Woodland,Tree Cover = 17%,772677,3.311218603,171534.294
118,Madrean Pinyon-Juniper Woodland,Tree Cover = 18%,725550,3.109261253,161072.1
119,Madrean Pinyon-Juniper Woodland,Tree Cover = 19%,679914,2.913693413,150940.908
120,Madrean Pinyon-Juniper Woodland,Tree Cover = 20%,646424,2.770175861,143506.128
121,Madrean Pinyon-Juniper Woodland,Tree Cover = 21%,629023,2.695605873,139643.106
122,Madrean Pinyon-Juniper Woodland,Tree Cover = 22%,618097,2.648783754,137217.534
123,Madrean Pinyon-Juniper Woodland,Tree Cover = 23%,612803,2.626096925,136042.266
124,Madrean Pinyon-Juniper Woodland,Tree Cover = 24%,616619,2.642449955,136889.418
125,Madrean Pinyon-Juniper Woodland,Tree Cover = 25%,1294949,5.549355317,287478.678
126,Madrean Pinyon-Juniper Woodland,Tree Cover = 26%,633612,2.715271506,140661.864
127,Madrean Pinyon-Juniper Woodland,Tree Cover = 27%,640717,2.745719168,142239.174
128,Madrean Pinyon-Juniper Woodland,Tree Cover = 28%,642738,2.754379932,142687.836
129,Madrean Pinyon-Juniper Woodland,Tree Cover = 29%,642160,2.751902979,142559.52
130,Madrean Pinyon-Juniper Woodland,Tree Cover = 30%,639688,2.741309507,142010.736
131,Madrean Pinyon-Juniper Woodland,Tree Cover = 31%,636075,2.72582641,141208.65
132,Madrean Pinyon-Juniper Woodland,Tree Cover = 32%,632655,2.711170392,140449.41
133,Madrean Pinyon-Juniper Woodland,Tree Cover = 33%,623313,2.671136323,138375.486
134,Madrean Pinyon-Juniper Woodland,Tree Cover = 34%,606583,2.599441829,134661.426
135,Madrean Pinyon-Juniper Woodland,Tree Cover = 35%,778980,3.338229386,172933.56
136,Madrean Pinyon-Juniper Woodland,Tree Cover = 36%,529738,2.270131401,117601.836
137,Madrean Pinyon-Juniper Woodland,Tree Cover = 37%,475302,2.03685217,105517.044
138,Madrean Pinyon-Juniper Woodland,Tree Cover = 38%,420868,1.803581511,93432.696
139,Madrean Pinyon-Juniper Woodland,Tree Cover = 39%,365224,1.565125535,81079.728
140,Madrean Pinyon-Juniper Woodland,Tree Cover = 40%,315944,1.353941751,70139.568
141,Madrean Pinyon-Juniper Woodland,Tree Cover = 41%,270980,1.161253689,60157.56
142,Madrean Pinyon-Juniper Woodland,Tree Cover = 42%,229239,0.982377425,50891.058
143,Madrean Pinyon-Juniper Woodland,Tree Cover = 43%,191590,0.821036956,42532.98
144,Madrean Pinyon-Juniper Woodland,Tree Cover = 44%,159101,0.681809075,35320.422
145,Madrean Pinyon-Juniper Woodland,Tree Cover = 45%,633730,2.715777181,140688.06
146,Madrean Pinyon-Juniper Woodland,Tree Cover = 46%,858,0.003676861,190.476
147,Madrean Pinyon-Juniper Woodland,Tree Cover = 47%,672,0.002879779,149.184
148,Madrean Pinyon-Juniper Woodland,Tree Cover = 48%,543,0.002326964,120.546
149,Madrean Pinyon-Juniper Woodland,Tree Cover = 49%,398,0.001705583,88.356
150,Madrean Pinyon-Juniper Woodland,Tree Cover = 50%,291,0.001247047,64.602
151,Madrean Pinyon-Juniper Woodland,Tree Cover = 51%,894,0.003831134,198.468
152,Madrean Pinyon-Juniper Woodland,Tree Cover = 52%,36,0.000154274,7.992
153,Madrean Pinyon-Juniper Woodland,Tree Cover = 53%,94,0.000402826,20.868
154,Madrean Pinyon-Juniper Woodland,Tree Cover = 54%,2,8.57077E-06,0.444
155,Madrean Pinyon-Juniper Woodland,Tree Cover = 55%,6,2.57123E-05,1.332
156,Madrean Pinyon-Juniper Woodland,Tree Cover = 56%,2,8.57077E-06,0.444
157,Madrean Pinyon-Juniper Woodland,Tree Cover = 57%,4,1.71415E-05,0.888
158,Madrean Pinyon-Juniper Woodland,Tree Cover = 58%,4,1.71415E-05,0.888
159,Madrean Pinyon-Juniper Woodland,Tree Cover = 59%,1,4.28539E-06,0.222
161,Madrean Pinyon-Juniper Woodland,Tree Cover = 61%,1,4.28539E-06,0.222
165,Madrean Pinyon-Juniper Woodland,Tree Cover = 65%,1,4.28539E-06,0.222
225,Madrean Pinyon-Juniper Woodland,Shrub Cover = 25%,1049,0.004495369,232.878
235,Madrean Pinyon-Juniper Woodland,Shrub Cover = 35%,3306,0.014167484,733.932
335,Madrean Pinyon-Juniper Woodland,Herb Cover = 35%,123841,0.530706392,27492.702
