source,target,value
Mogollon Chaparral,Madrean Pinyon-Juniper Woodland,29.1710158
Madrean Pinyon-Juniper Woodland (Past),Madrean Pinyon-Juniper Woodland,20.18313165
Madrean Encinal,Madrean Pinyon-Juniper Woodland,16.1791291
Sonoran Mid-Elevation Desert Scrub,Madrean Pinyon-Juniper Woodland,9.099205597
Madrean Lower Montane Pine-Oak Forest and Woodland,Madrean Pinyon-Juniper Woodland,5.650229
Southern Rocky Mountain Ponderosa Pine Woodland,Madrean Pinyon-Juniper Woodland,2.718087004
Rocky Mountain Montane Riparian Systems,Madrean Pinyon-Juniper Woodland,2.645372587
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Madrean Pinyon-Juniper Woodland,2.614359255
Madrean Juniper Savanna,Madrean Pinyon-Juniper Woodland,1.785762879
Southern Rocky Mountain Ponderosa Pine Savanna,Madrean Pinyon-Juniper Woodland,1.66168812
